"","Date_of_Match","Projected_Attendance"
"32","2/25/2023",23258.0130477324
"33","3/11/2023",23369.8422636549
"34","4/1/2023",23720.2013387423
"35","4/8/2023",23874.2641024123
"36","4/22/2023",23776.1159467036
"37","5/6/2023",23664.2867307811
"38","5/17/2023",21445.3968459928
"39","5/20/2023",24055.6889865098
"40","6/3/2023",23832.0305546648
"41","6/21/2023",21780.8844937603
"42","7/1/2023",24223.4328103935
"43","7/15/2023",23943.8597705873
"44","8/26/2023",23999.7743785486
"45","9/2/2023",23887.9451626261
"46","9/23/2023",23496.5429068973
"47","10/4/2023",21613.1406698766
"48","10/21/2023",24111.603594471
